ROC-AUC,PR-AUC,valid_ROC-AUC,valid_PR-AUC,n_train,n_valid,n_test,dataset,model,features
0.8186813186813188,0.34974493756355785,0.8929864253393665,0.5488579829218694,1034,147,297,ClinTox,logistic,rdkit2d
0.8105921855921857,0.3502670865095774,0.8909502262443438,0.44301754854672165,1034,147,297,ClinTox,rf,rdkit2d
0.8636363636363636,0.5727272727272726,0.8869565217391304,0.7658119658119658,196,28,56,Carcinogens,logistic,rdkit2d
0.7747474747474749,0.5051937405615124,0.8260869565217391,0.7181818181818181,196,28,56,Carcinogens,rf,rdkit2d
0.45471124620060793,0.5199871954524045,0.7323232323232323,0.7615272119282814,282,40,82,SkinReaction,logistic,rdkit2d
0.6832826747720364,0.7549470408399542,0.6502525252525253,0.6658738772199227,282,40,82,SkinReaction,rf,rdkit2d
