ROC-AUC,PR-AUC,valid_ROC-AUC,valid_PR-AUC,n_train,n_valid,n_test,dataset,model,features
0.6932234432234432,0.2345613073488371,0.7916289592760182,0.25835776793757514,1034,147,297,ClinTox,logistic,chemberta
0.6951312576312577,0.19305440222432138,0.7828054298642534,0.288026073595077,1034,147,297,ClinTox,rf,chemberta
0.7086385836385837,0.33601928763335653,0.729185520361991,0.26906508800930196,1034,147,297,ClinTox,xgb,chemberta
0.6858585858585858,0.45010584243342866,0.808695652173913,0.7434782608695651,196,28,56,Carcinogens,logistic,chemberta
0.793939393939394,0.5477109846675065,0.8434782608695652,0.7333333333333332,196,28,56,Carcinogens,rf,chemberta
0.6696969696969697,0.4668926539567111,0.8782608695652174,0.7569230769230768,196,28,56,Carcinogens,xgb,chemberta
0.4984802431610943,0.6067757528050333,0.7449494949494949,0.7641868875190654,282,40,82,SkinReaction,logistic,chemberta
0.6577507598784195,0.7105170284045084,0.7563131313131314,0.7335344386540001,282,40,82,SkinReaction,rf,chemberta
0.6133738601823708,0.6577496612157308,0.6565656565656566,0.6887547506637511,282,40,82,SkinReaction,xgb,chemberta
